Case Title,Petitioner,Respondent,Year,Date of Judgment,Bench,Case Type,Statutes Referenced,Citation,Outcome,Headnote,PDF_File,Folder,FullText_Sample
Abdulla Ahmed vs Animendra Kissen Mitter,ABDULLA AHMED,ANIMENDRA KISSEN MITTER.,1950,14 March 1950,,,,AIR 1950 SC 15; 1950 AIR 15; 1950 SCR 30,,"The appellant, an estate broker, was employed by the respondent by a letter dated 5th May, 1943, to negotiate a sale of certain property on the ,,terms mentioned in a commission note which ran as follows: I .....do hereby Abdulla Ahmed vs Animendra Kissen Mitter on 14 March, 1950 Indian Kanoon - htt",Abdulla_Ahmed_vs_Animendra_Kissen_Mitter_on_14_March_1950_1.PDF,1950,"Abdulla Ahmed vs Animendra Kissen Mitter on 14 March, 1950
Equivalent citations: 1950 AIR 15, 1950 SCR 30, AIR 1950 SUPREME COURT
15
Bench: Hiralal J. Kania, Saiyid Fazal Ali, Mehr Chand Mahajan
           PETITIONER:
ABDULLA AHMED
        Vs.
RESPONDENT:
ANIMENDRA KISSEN MITTER.
DATE OF JUDGMENT:
14/03/1950
BENCH:
SASTRI, M. PATANJALI
BENCH:
SASTRI, M. PATANJALI
DAS, SUDHI RANJAN
KANIA, HIRALAL J. (CJ)
FAZAL ALI, SAIYID
MAHAJAN, MEHR CHAND
CITATION:
 1950 AIR   15            1950 SCR   30
 CITATOR INFO :
 F          1975 SC  32  (19)
 E          1980 SC  17  (36)
 E          1990 SC1833  (17)
ACT:
   Contract Agency Estate  broker--Authority to negotiate a
sale'  and'secure  purchaser '--Whether empowers  broker  to
conclude contract--Construction of contract--Broker  finding
ready  and willing to buy for price fixed by principal  con-
cluding  contract with same purchase for lower  price  -Bro-
ker's right to commission -power of agents.
                principal--Principal
HEADNOTE:
      The  appellant, an estate broker, was employed by  the
respondent  by a letter dated 5th May, 1943, to negotiate  a
sale  of  certain  property on the ,,terms  mentioned  in  a
commission  note  which ran as follows:  I   .....do  hereby
Abdulla Ahmed vs Animendra Kissen Mitter on 14 March, 1950
Indian Kanoon - http://indiankanoon.org/doc/1780900/
1
authorise  you  to  negotiate the sale of  my  property  27,
Amratolla Street, free from all encumbrances at a price  not
less  than Rs. 1,00"
Col D I Mac Pherson vs M N Appanna And Another,COL. D.I.MAC PHERSON,M.N. APPANNA AND ANOTHER.,1951,9 February 1951,,,,1951 SCR 161; 1951 AIR 184,no order as to costs,"On receiving an offer from A for the purchase of a house belonging to B, Y who was looking after the house, cabled to B that there was an offer of Rs. 6,000 for the house. B sent a cable in reply on the 5th August, 1944, that he would not accept less than Rs. 10,000. Y conveyed this informa- tion to",Col_D_I_Mac_Pherson_vs_M_N_Appanna_And_Another_on_9_February_1951_1.PDF,1951,"Col. D.I.Mac Pherson vs M.N. Appanna And Another on 9
February, 1951
Equivalent citations: 1951 AIR 184, 1951 SCR 161, AIR 1951 SUPREME
COURT 184, 1964 MADLW 535
Author: Saiyid Fazal Ali
Bench: Saiyid Fazal Ali, B.K. Mukherjea, N. Chandrasekhara Aiyar
           PETITIONER:
COL. D.I.MAC PHERSON
        Vs.
RESPONDENT:
M.N. APPANNA AND ANOTHER.
DATE OF JUDGMENT:
09/02/1951
BENCH:
FAZAL ALI, SAIYID
BENCH:
FAZAL ALI, SAIYID
MUKHERJEA, B.K.
AIYAR, N. CHANDRASEKHARA
CITATION:
 1951 AIR  184            1951 SCR  161
ACT:
   Contract--Offer  and  acceptance--Statement.  of   lowest
price and counter-offer distinguished.
HEADNOTE:
   On receiving an offer from A for the purchase of a  house
belonging to B, Y who was looking after the house, cabled to
B  that  there was an offer of Rs. 6,000 for the  house.   B
sent a cable in reply on the 5th August, 1944, that he would
not  accept less than Rs. 10,000.  Y conveyed this  informa-
tion  to A on the 9th and on the 14th A wrote a letter to  Y
stating  that  he thereby confirmed the oral  offer  of  Rs.
10,000  that  he had made to Y on the 11th.  On the  26th  Y
cabled  to B as follows: ""Offered Rs. 10,000.  May I  sell"".
On  the same day, W, another friend  of B, with whom also  B
Col. D.I.Mac Pherson vs M.N. Appanna And Another on 9 February, 1951
Indian Kanoon - http://indiankanoon.org/doc/1985255/
1
was  in correspondence, sent an offer for Rs. 11,000  and  B
accepted it.  A sued for specific performance alleging  that
B's  cable  o"
Srinivas Ram Kumar vs Mahabir Prasad And Others,SRINIVAS RAM KUMAR,MAHABIR PRASAD AND OTHERS.,1951,9 February 1951,,,,1951 SCR 277; 1951 AIR 177,Appeal allowed,"Though the court would not grant relief to the plaintiff on a case for which there was no foundation in the pleadings and which the other side was not called upon or had no Srinivas Ram Kumar vs Mahabir Prasad And Others on 9 February, 1951 Indian Kanoon - http://indiankanoon.org/doc/180091/ 1",Srinivas_Ram_Kumar_vs_Mahabir_Prasad_And_Others_on_9_February_1951_1.PDF,1951,"Srinivas Ram Kumar vs Mahabir Prasad And Others on 9
February, 1951
Equivalent citations: 1951 AIR 177, 1951 SCR 277, AIR 1951 SUPREME
COURT 177, 1987 CALLJ 236 1964 MADLW 544, 1964 MADLW 544
Author: B.K. Mukherjea
Bench: B.K. Mukherjea, Mehr Chand Mahajan
           PETITIONER:
SRINIVAS RAM KUMAR
        Vs.
RESPONDENT:
MAHABIR PRASAD AND OTHERS.
DATE OF JUDGMENT:
09/02/1951
BENCH:
MUKHERJEA, B.K.
BENCH:
MUKHERJEA, B.K.
SASTRI, M. PATANJALI
MAHAJAN, MEHR CHAND
CITATION:
 1951 AIR  177            1951 SCR  277
 CITATOR INFO :
 R          1964 SC 136  (11)
 R          1964 SC 818  (9)
 D          1978 SC1362  (25)
ACT:
    Pleadings--Inconsistent   pleas--Plaintiff   suing   for
specific  performance  alleging  that  money  was  paid   as
price--Defendant   pleading  that  money  was  received   as
loan--Plaintiff's  case  not proved-Whether  decree  can  be
given for recovery of money as loan on defendant's plea.
HEADNOTE:
    Though the court would not grant relief to the plaintiff
on a case for which there was no foundation in the pleadings
and  which  the  other side was not called upon  or  had  no
Srinivas Ram Kumar vs Mahabir Prasad And Others on 9 February, 1951
Indian Kanoon - http://indiankanoon.org/doc/180091/
1
opportunity  to meet, yet, when the alternative  case  which
the  plaintiff could have made was not only admitted by  the
defendant  in  his written statement but was  expressly  put
forward  as an answer to the claim which the plaintiff  made
in  the suit. "
Chhotabrai Jethabai Patel And Co vs The State Of Madhya Pradesh And Other,CHHOTABRAI JETHABAI PATEL AND CO.,THE STATE OF MADHYA PRADESH(and other cases),1952,22 December 1952,,,article 32,1953 AIR 108; 1953 SCR 476,,"The Madhya Pradesh Abolition of Proprietary Rights (Estates, Mahals, Alienated Lands) Act of 1950 put an end to all proprietary rights in estates, mahals and alienated villages situated in the State and vested them in the State for the purposes of the State, free from all encumbrances. The petitione",Chhotabrai_Jethabai_Patel_And_Co_vs_The_State_Of_Madhya_Pradesh_And_Other_on_22_December_1952_1.PDF,1952,"Chhotabrai Jethabai Patel And Co vs The State Of Madhya
Pradesh(And Other ... on 22 December, 1952
Equivalent citations: 1953 AIR 108, 1953 SCR 476, AIR 1953 SUPREME
COURT 108
Author: N. Chandrasekhara Aiyar
Bench: N. Chandrasekhara Aiyar, Mehr Chand Mahajan, Natwarlal H.
Bhagwati
           PETITIONER:
CHHOTABRAI JETHABAI PATEL AND CO.
        Vs.
RESPONDENT:
THE STATE OF MADHYA PRADESH(and other cases)
DATE OF JUDGMENT:
22/12/1952
BENCH:
AIYAR, N. CHANDRASEKHARA
BENCH:
AIYAR, N. CHANDRASEKHARA
MAHAJAN, MEHR CHAND
BHAGWATI, NATWARLAL H.
CITATION:
 1953 AIR  108            1953 SCR  476
 CITATOR INFO :
 E&D        1956 SC  17  (12)
 D          1958 SC 532  (5,23,24,25)
 NF         1959 SC 735  (28)
 O          1962 SC1916  (4,5,12)
 O          1966 SC1637  (2,7,8,9,10)
 RF         1968 SC1218  (2,4)
 E          1970 SC 706  (5,6,7,8)
 R          1976 SC1813  (13)
 RF         1978 SC1635  (20)
 R          1985 SC1293  (107,112,114,115,124,127)
ACT:
Madhya  Pradesh  Abolition of Proprietary  Rights  (Estates,
Mahals  and  Alienated Lands) Act, 1950, Ss.  3,  4  -Rights
under contracts with proprietors for plucking tendu  leaves,
collecting  lac, cutting timber etc.-Whether vest in  State-
Chhotabrai Jethabai Patel And Co vs The State Of Madhya Pradesh(And Other ... on 22 December, 1952
Indian Kanoon - http://indiankanoon.org/doc/258864/
1
Nature  of such contracts -Indian Sale of Goods Act (III  of
1930) S. 4 (3) -""Future goods"", meaning of.
HEADNOTE:
The   Madhya  Pradesh  Abo"
Hemraj vs Rustomji,Hemraj,Rustomji,1952,14 February 1952,,,,AIR 1953 SC 503,,,Hemraj_vs_Rustomji_on_14_February_1952_1.PDF,1952,"Hemraj vs Rustomji on 14 February, 1952
Equivalent citations: AIR1953SC503, AIR 1953 SUPREME COURT 503
Author: Chandrasekhara Aiyar
Bench: Chief Justice, Chandrasekhara Aiyar
JUDGMENT
 Chandrasekhara Aiyar, J. 
1. This is an appeal by the defendant against the decree of the High Court of Nagpur which reversed
the decree of the Additional District Judge, Khamgaon, dismissing the plaintiff's suit. Leave to
appeal was granted as the value of the subject-matter of the suit in the trial Court was Rs. 35,000
and as there were substantial questions of law.
2. The property involved is a Ginning and a Pressing factory situated at Khamgaon and the case for
the plaintiff is that they belonged originally to Sir Hukumchand and his son Rajkumarsing from
whom he purchased the factories for a sum of Rs. 35,000 under a registered sale deed, dated
26-11-1939. Prior to the sale, there was a letter or note on 3-11-1939, setting out the agreement
between the parties relating to the sale. On the next day, possession of the factories was handed over
to one Seth Chapsi Dhanji at Khamgaon on behalf of the plaintiff. Two days afterwards, i. e. on the
6th of November, Sir Hukumchand entered into a fresh agreement to sell with the defendant, but
this was behind the back of the plaintiff. On the 7th of November, the defendant's men attempted to
take forcible possession of the factories from Chapsi Dhanji, plaintiff's representative on the
premises.
Ultimately, the defendant's agent one Nathmal resorted t"
Central National Bank Ltd vs United Industrial Bank Ltd,CENTRAL NATIONAL BANK LTD.,UNITED INDUSTRIAL BANK LTD.,1953,26 November 1953,,,,1954 SCR 391; 1954 AIR 181,,"The word ""consent"" in s. 30(2) of the Indian Sale of Goods Act means ""agreeing on the same thing in the same sense"" as defined in s. 13 of the Indian Contract Act and does not mean ""free consent"" as defined in s. 14 . Therefore, possession of goods which is obtained by a person from",Central_National_Bank_Ltd_vs_United_Industrial_Bank_Ltd_on_26_November_1953_1.PDF,1953,"Central National Bank Ltd vs United Industrial Bank Ltd on 26
November, 1953
Equivalent citations: 1954 AIR 181, 1954 SCR 391, AIR 1954 SUPREME
COURT 181, 1994 CALLJ 1
Author: B.K. Mukherjea
Bench: B.K. Mukherjea, Natwarlal H. Bhagwati, B. Jagannadhadas
           PETITIONER:
CENTRAL NATIONAL BANK LTD.
        Vs.
RESPONDENT:
UNITED INDUSTRIAL BANK LTD.
DATE OF JUDGMENT:
26/11/1953
BENCH:
MUKHERJEA, B.K.
BENCH:
MUKHERJEA, B.K.
BHAGWATI, NATWARLAL H.
JAGANNADHADAS, B.
CITATION:
 1954 AIR  181            1954 SCR  391
ACT:
   Indian  Sale of Goods Act (III of 1930),  s.  30(2)-Indian
 Contract  Act  (IX of 1872), ss. 13, 14--Agreement  to  sell
 goods-Buyer  obtaining  possession by fraud  aithout  paying
 price-Rights  of  bona fide purchaser  from  buyer-""Consent""
 meaning of.
HEADNOTE:
The  word ""consent"" in s. 30(2) of the Indian Sale of  Goods
Act means ""agreeing on the same thing in the same sense""  as
defined  in  s. 13 of the Indian Contract Act and  does  not
mean  ""free  consent""  as  defined  in  s.  14
.   Therefore,
possession  of  goods  which is obtained by  a  person  from
another person who has agreed to sell them to him, would  be
possession obtained ""with the consent of the seller""  within
Central National Bank Ltd vs United Industrial Bank Ltd on 26 November, 1953
Indian Kanoon - http://indiankanoon.org/doc/1138502/
1
the  meaning  of  s. 30(2) of the Sale of  Goods  Act,  even
though  it  was obtained by fraud, except  where  the  fraud
committed  is  of su"
Lala Durga Prasad And Another vs Lala Deep Chand And Others,LALA DURGA PRASAD AND ANOTHER,LALA DEEP CHAND AND OTHERS.,1953,18 November 1953,,,,AIR 1954 SC 75; 1954 SCR 360; 1954 AIR 75,,"A dispute arising, subsequent to a contract for sale of land, about the particular form in which the warranty of Lala Durga Prasad And Another vs Lala Deep Chand And Others on 18 November, 1953 Indian Kanoon - http://indiankanoon.org/doc/752687/ 1 title should be inserted in the sale deed cannot aff",Lala_Durga_Prasad_And_Another_vs_Lala_Deep_Chand_And_Others_on_18_November_1953_1.PDF,1953,"Lala Durga Prasad And Another vs Lala Deep Chand And Others
on 18 November, 1953
Equivalent citations: 1954 AIR 75, 1954 SCR 360, AIR 1954 SUPREME COURT
75, 1967 MADLW 945
Author: Vivian Bose
Bench: Vivian Bose, B.K. Mukherjea, Natwarlal H. Bhagwati
           PETITIONER:
LALA DURGA PRASAD AND ANOTHER
        Vs.
RESPONDENT:
LALA DEEP CHAND AND OTHERS.
DATE OF JUDGMENT:
18/11/1953
BENCH:
BOSE, VIVIAN
BENCH:
BOSE, VIVIAN
MUKHERJEA, B.K.
BHAGWATI, NATWARLAL H.
CITATION:
 1954 AIR   75            1954 SCR  360
 CITATOR INFO :
 R          1967 SC 978  (10)
 F          1971 SC1238  (9)
 RF         1973 SC 655  (6)
 RF         1982 SC 818  (2)
ACT:
 Specific  performance-Agreement  for sale  of  land-Suit  by
 purchaser  against  vendor  and  subsequent  transferee  for
 specific performance-Form of decree-Refund of money paid  by
 subsequent transferee-Contract-Dispute arising  subsequently
 as to form of warranty-Whether repudiation.
HEADNOTE:
   A dispute arising, subsequent to a contract for sale  of
land,  about  the particular form in which the  warranty  of
Lala Durga Prasad And Another vs Lala Deep Chand And Others on 18 November, 1953
Indian Kanoon - http://indiankanoon.org/doc/752687/
1
title should be inserted in the sale deed cannot affect  the
completeness of the contract already made, nor can it amount
to a repudiation of the contract when the party who wanted a
particular  form  to be adopted does not persist in  it  and
expresses  his  readiness  and willingness  to"
Poppatlal Shah vs The State Of Madras Union Of India And,POPPATLAL SHAH,THE STATE OF MADRAS.UNION OF INDIA AND OTHERS-Interveners.,1953,30 March 1953,,,,1953 SCR 677; 1953 AIR 274,,"Under the Madras Sales Tax Act, 1939, as it stood before it was amended by the Madras Act XXV of 1947,the mere fact that the contract of sale was entered into within the Province of 88 678",Poppatlal_Shah_vs_The_State_Of_Madras_Union_Of_India_And_on_30_March_1953_1.PDF,1953,"Poppatlal Shah vs The State Of Madras.Union Of India And ... on
30 March, 1953
Equivalent citations: 1953 AIR 274, 1953 SCR 677
Author: B.K. Mukherjea
Bench: B.K. Mukherjea, Natwarlal H. Bhagwati, M. Patanjali Sastri, Vivian
Bose, Ghulam Hasan
           PETITIONER:
POPPATLAL SHAH
        Vs.
RESPONDENT:
THE STATE OF MADRAS.UNION OF INDIA AND OTHERS-Interveners.
DATE OF JUDGMENT:
30/03/1953
BENCH:
MUKHERJEA, B.K.
BENCH:
MUKHERJEA, B.K.
BHAGWATI, NATWARLAL H.
SASTRI, M. PATANJALI (CJ)
BOSE, VIVIAN
HASAN, GHULAM
CITATION:
 1953 AIR  274            1953 SCR  677
 CITATOR INFO :
 R          1955 SC 661  (93,147)
 RF         1958 SC 452  (14,26)
 RF         1958 SC 468  (6,14,17)
 R          1958 SC 560  (14,32)
 R          1959 SC 887  (16)
 RF         1961 SC 347  (20)
 RF         1961 SC1065  (4)
 R          1963 SC1207  (42,50)
 R          1965 SC 161  (8)
 RF         1966 SC 376  (5)
 F          1985 SC1034  (15)
 R          1988 SC2031  (9)
ACT:
Madras  Sales  Tax  Act  (IX of  1939),  Ss.  2,  8  (before
Poppatlal Shah vs The State Of Madras.Union Of India And ... on 30 March, 1953
Indian Kanoon - http://indiankanoon.org/doc/1266379/
1
amendment of 1947)-"" Sale within the province"", meaning  of-
Levy  of  tax on  sales where property in the  goods  passed
outside   the   province-Legality-Provincial    Legislature-
Territorial jurisdiction.
HEADNOTE:
  Under  the Madras Sales Tax Act, 1939, as it stood  before
it  was amended by the Madras Act XXV of 1947,the mere  fact
tha"
Satyabrata Ghose vs Mugneeram Bangur Co And Another,SATYABRATA GHOSE,"MUGNEERAM BANGUR & CO., AND ANOTHER",1953,16 November 1953,,,,1954 SCR 310; AIR 1954 SC 44; 1954 AIR 44,,The doctrine of frustration is really an aspect or part of the law of discharge of contract by reason of supervening impossibility or illegality of the act agreed to be done and hence comes within the purview of S. 56 of the Indian Contract Act.. The view that s. 56 applies only to cases of,Satyabrata_Ghose_vs_Mugneeram_Bangur_Co_And_Another_on_16_November_1953_1.PDF,1953,"Satyabrata Ghose vs Mugneeram Bangur & Co., And Another on
16 November, 1953
Equivalent citations: 1954 AIR 44, 1954 SCR 310, AIR 1954 SUPREME COURT
44, 1993 CALLJ 336
Author: B.K. Mukherjea
Bench: B.K. Mukherjea, Vivian Bose, Natwarlal H. Bhagwati
           PETITIONER:
SATYABRATA GHOSE
        Vs.
RESPONDENT:
MUGNEERAM BANGUR & CO., AND ANOTHER
DATE OF JUDGMENT:
16/11/1953
BENCH:
MUKHERJEA, B.K.
BENCH:
MUKHERJEA, B.K.
BOSE, VIVIAN
BHAGWATI, NATWARLAL H.
CITATION:
 1954 AIR   44            1954 SCR  310
 CITATOR INFO :
 R          1958 SC 328  (25)
 RF         1959 SC 135  (20)
 R          1965 SC1523  (1)
 R          1968 SC1024  (8)
 R          1971 SC1756  (11)
 F          1977 SC1019  (1,11)
 A          1980 SC1717  (26)
 A          1980 SC1717  (26)
ACT:
Indian  Contract Act  (IX of 1872), s. 56- Agreement to  sell
 land-Doctrine of frustration- Applicability-Doctrine whether
 applicable  in India- Scope of s. 56 Impossible meaning  of-
 Agreement for sale of land-Buyer's rights-English and Indian
 law.
Satyabrata Ghose vs Mugneeram Bangur & Co., And Another on 16 November, 1953
Indian Kanoon - http://indiankanoon.org/doc/1214064/
1
HEADNOTE:
The  doctrine of frustration is really an aspect or part  of
the  law of discharge of contract by reason  of  supervening
impossibility or illegality of the act agreed to be done and
hence  comes  within  the purview of S.  56
  of  the  Indian
Contract Act.. The view that s. 56 applies only to cases  of
physical  impossibility and"
State Of Travancore Cochin And Others vs Shanmugha Vilas Cashew Nut Factoryand,STATE OF TRAVANCORE-COCHIN AND OTHERS,SHANMUGHA VILAS CASHEW NUT FACTORYAND OTHERS.,1953,8 May 1953,,,article 286; article 132; article 226,1953 AIR 333; 1954 SCR 53,quashed,"Held, by (PATANJALI SASTRI C.J., MUKHERJEA, VIVIAN BOSE and GHULAM HASAN JJ.)-(i) Sales and purchases which themselves occasion the export or import of the goods, as the case may be, out of, or into, the territory of India come within art. 286 (1) (b) and are exempt from State taxation. (ii) Purchas",State_Of_Travancore_Cochin_And_Others_vs_Shanmugha_Vilas_Cashew_Nut_Factoryand_on_8_May_1953_1.PDF,1953,"State Of Travancore-Cochin And Others vs Shanmugha Vilas
Cashew Nut Factoryand ... on 8 May, 1953
Equivalent citations: 1953 AIR 333, 1954 SCR 53
Author: M. Patanjali Sastri
Bench: M. Patanjali Sastri, B.K. Mukherjea, Vivian Bose, Ghulam Hasan
           PETITIONER:
STATE OF TRAVANCORE-COCHIN AND OTHERS
        Vs.
RESPONDENT:
SHANMUGHA VILAS CASHEW NUT FACTORYAND OTHERS.
DATE OF JUDGMENT:
08/05/1953
BENCH:
SASTRI, M. PATANJALI (CJ)
BENCH:
SASTRI, M. PATANJALI (CJ)
MUKHERJEA, B.K.
DAS, SUDHI RANJAN
BOSE, VIVIAN
HASAN, GHULAM
CITATION:
 1953 AIR  333            1954 SCR   53
 CITATOR INFO :
 APR        1955 SC 661  (16,26,31,34,63,123,154,169,21
 RF         1955 SC 765  (32)
 F          1956 SC 158  (9)
 E&D        1957 SC 790  (12)
 RF         1958 SC 453  (26)
 F          1958 SC1002  (9,11)
 F          1958 SC1006  (11)
 F          1960 SC 595  (9,10)
 R          1961 SC  41  (19)
 D          1961 SC  65  (17)
 R          1961 SC 213  (10)
 RF         1961 SC 315  (11,26)
 R          1961 SC1344  (5)
 R          1962 SC1006  (77)
 R          1962 SC1733  (11,12)
 R          1963 SC 980  (10)
 R          1964 SC1729  (20,35)
 R          1964 SC1752  (5,11,23,26)
State Of Travancore-Cochin And Others vs Shanmugha Vilas Cashew Nut Factoryand ... on 8 May, 1953
Indian Kanoon - http://indiankanoon.org/doc/204111/
1
 R          1971 SC 477  (5)
 RF         1971 SC 870  (21)
 R          1972 SC  23  (6)
 RF         1974 SC1510  (8)
 E          1975 SC1564  (10,14,15,16,24,50,59)
 "
